Date,Inflation Rate
2002-08-01,0.33
2002-07-01,0.11
2002-06-01,0.06
2002-05-01,0.00
2002-04-01,0.56
2002-03-01,0.56
2002-02-01,0.40
2002-01-01,0.23
2001-12-01,-0.39
2001-11-01,-0.17
2001-10-01,-0.34
2001-09-01,0.45
2001-08-01,0.00
2001-07-01,-0.28
2001-06-01,0.17
2001-05-01,0.45
2001-04-01,0.40
2001-03-01,0.23
2001-02-01,0.40
2001-01-01,0.63
2000-12-01,-0.06
2000-11-01,0.06
2000-10-01,0.17
2000-09-01,0.52
2000-08-01,0.00
2000-07-01,0.23
2000-06-01,0.52
2000-05-01,0.12
2000-04-01,0.06
2000-03-01,0.82
2000-02-01,0.59
2000-01-01,0.30
1999-12-01,0.00
1999-11-01,0.06
1999-10-01,0.18
1999-09-01,0.48
1999-08-01,0.24
1999-07-01,0.30
1999-06-01,0.00
1999-05-01,0.00
1999-04-01,0.73
1999-03-01,0.30
1999-02-01,0.12
1999-01-01,0.24
1998-12-01,-0.06
1998-11-01,0.00
1998-10-01,0.24
1998-09-01,0.12
1998-08-01,0.12
1998-07-01,0.12
1998-06-01,0.12
1998-05-01,0.18
1998-04-01,0.18
1998-03-01,0.19
1998-02-01,0.19
1998-01-01,0.19
1997-12-01,-0.12
1997-11-01,-0.06
1997-10-01,0.25
1997-09-01,0.25
1997-08-01,0.19
1997-07-01,0.12
1997-06-01,0.12
1997-05-01,-0.06
1997-04-01,0.13
1997-03-01,0.25
1997-02-01,0.31
1997-01-01,0.32
1996-12-01,0.00
1996-11-01,0.19
1996-10-01,0.32
1996-09-01,0.32
1996-08-01,0.19
1996-07-01,0.19
1996-06-01,0.06
1996-05-01,0.19
1996-04-01,0.39
1996-03-01,0.52
1996-02-01,0.32
1996-01-01,0.59
1995-12-01,-0.07
1995-11-01,-0.07
1995-10-01,0.33
1995-09-01,0.20
1995-08-01,0.26
1995-07-01,0.00
1995-06-01,0.20
1995-05-01,0.20
1995-04-01,0.33
1995-03-01,0.33
1995-02-01,0.40
1995-01-01,0.40
1994-12-01,0.00
1994-11-01,0.13
1994-10-01,0.07
1994-09-01,0.27
1994-08-01,0.40
1994-07-01,0.27
1994-06-01,0.34
1994-05-01,0.07
1994-04-01,0.14
1994-03-01,0.34
1994-02-01,0.34
1994-01-01,0.27
1993-12-01,0.00
1993-11-01,0.07
1993-10-01,0.41
1993-09-01,0.21
1993-08-01,0.28
1993-07-01,0.00
1993-06-01,0.14
1993-05-01,0.14
1993-04-01,0.28
1993-03-01,0.35
1993-02-01,0.35
1993-01-01,0.49
1992-12-01,-0.07
1992-11-01,0.14
1992-10-01,0.35
1992-09-01,0.28
1992-08-01,0.28
1992-07-01,0.21
1992-06-01,0.36
1992-05-01,0.14
1992-04-01,0.14
1992-03-01,0.51
1992-02-01,0.36
1992-01-01,0.15
1991-12-01,0.07
1991-11-01,0.29
1991-10-01,0.15
1991-09-01,0.44
1991-08-01,0.29
1991-07-01,0.15
1991-06-01,0.29
1991-05-01,0.30
1991-04-01,0.15
1991-03-01,0.15
1991-02-01,0.15
1991-01-01,0.60
1990-12-01,0.00
1990-11-01,0.22
1990-10-01,0.60
1990-09-01,0.84
1990-08-01,0.92
1990-07-01,0.38
1990-06-01,0.54
1990-05-01,0.23
1990-04-01,0.16
1990-03-01,0.55
1990-02-01,0.47
1990-01-01,1.03
1989-12-01,0.16
1989-11-01,0.24
1989-10-01,0.48
1989-09-01,0.32
1989-08-01,0.16
1989-07-01,0.24
1989-06-01,0.24
1989-05-01,0.57
1989-04-01,0.65
1989-03-01,0.58
1989-02-01,0.41
1989-01-01,0.50
1988-12-01,0.17
1988-11-01,0.08
1988-10-01,0.33
1988-09-01,0.67
1988-08-01,0.42
1988-07-01,0.42
1988-06-01,0.43
1988-05-01,0.34
1988-04-01,0.52
1988-03-01,0.43
1988-02-01,0.26
1988-01-01,0.26
1987-12-01,0.00
1987-11-01,0.09
1987-10-01,0.26
1987-09-01,0.52
1987-08-01,0.53
1987-07-01,0.26
1987-06-01,0.35
1987-05-01,0.35
1987-04-01,0.54
1987-03-01,0.45
1987-02-01,0.36
1987-01-01,0.63
1986-12-01,0.09
1986-11-01,0.09
1986-10-01,0.09
1986-09-01,0.46
1986-08-01,0.18
1986-07-01,0.00
1986-06-01,0.55
1986-05-01,0.28
1986-04-01,-0.18
1986-03-01,-0.46
1986-02-01,-0.27
1986-01-01,0.27
