Series Description,"Average majority prime rate charged by banks   on short-term loans to business,   quoted on an investment basis"
2004-05,4.00
2004-06,4.01
2004-07,4.25
2004-08,4.43
2004-09,4.58
2004-10,4.75
2004-11,4.93
2004-12,5.15
2005-01,5.25
2005-02,5.49
2005-03,5.58
2005-04,5.75
2005-05,5.98
2005-06,6.01
2005-07,6.25
2005-08,6.44
2005-09,6.59
2005-10,6.75
2005-11,7.00
2005-12,7.15
2006-01,7.26
2006-02,7.50
2006-03,7.53
2006-04,7.75
2006-05,7.93
2006-06,8.02
2006-07,8.25
2006-08,8.25
2006-09,8.25
2006-10,8.25
2006-11,8.25
2006-12,8.25
2007-01,8.25
2007-02,8.25
2007-03,8.25
2007-04,8.25
2007-05,8.25
2007-06,8.25
2007-07,8.25
2007-08,8.25
2007-09,8.03
2007-10,7.74
2007-11,7.50
2007-12,7.33
2008-01,6.98
2008-02,6.00
2008-03,5.66
2008-04,5.24
2008-05,5.00
2008-06,5.00
2008-07,5.00
2008-08,5.00
2008-09,5.00
2008-10,4.56
2008-11,4.00
2008-12,3.61
2009-01,3.25
2009-02,3.25
2009-03,3.25
2009-04,3.25
2009-05,3.25
2009-06,3.25
2009-07,3.25
2009-08,3.25
2009-09,3.25
2009-10,3.25
2009-11,3.25
2009-12,3.25
2010-01,3.25
2010-02,3.25
2010-03,3.25
2010-04,3.25
2010-05,3.25
2010-06,3.25
2010-07,3.25
2010-08,3.25
2010-09,3.25
2010-10,3.25
2010-11,3.25
2010-12,3.25
2011-01,3.25
2011-02,3.25
2011-03,3.25
2011-04,3.25
2011-05,3.25
2011-06,3.25
2011-07,3.25
2011-08,3.25
2011-09,3.25
2011-10,3.25
2011-11,3.25
2011-12,3.25
2012-01,3.25
2012-02,3.25
2012-03,3.25
2012-04,3.25
2012-05,3.25
2012-06,3.25
2012-07,3.25
2012-08,3.25
2012-09,3.25
2012-10,3.25
2012-11,3.25
2012-12,3.25
2013-01,3.25
2013-02,3.25
2013-03,3.25
2013-04,3.25
2013-05,3.25
2013-06,3.25
2013-07,3.25
2013-08,3.25
2013-09,3.25
2013-10,3.25
2013-11,3.25
2013-12,3.25
2014-01,3.25
2014-02,3.25
2014-03,3.25
2014-04,3.25
2014-05,3.25
2014-06,3.25
2014-07,3.25
2014-08,3.25
2014-09,3.25
2014-10,3.25
2014-11,3.25
2014-12,3.25
2015-01,3.25
2015-02,3.25
2015-03,3.25
2015-04,3.25
2015-05,3.25
2015-06,3.25
2015-07,3.25
2015-08,3.25
2015-09,3.25
2015-10,3.25
2015-11,3.25
2015-12,3.37
2016-01,3.50
2016-02,3.50
2016-03,3.50
2016-04,3.50
2016-05,3.50
2016-06,3.50
2016-07,3.50
2016-08,3.50
2016-09,3.50
2016-10,3.50
2016-11,3.50
2016-12,3.64
2017-01,3.75
2017-02,3.75
2017-03,3.88
2017-04,4.00
2017-05,4.00
2017-06,4.13
2017-07,4.25
2017-08,4.25
2017-09,4.25
2017-10,4.25
2017-11,4.25
2017-12,4.40
2018-01,4.50
2018-02,4.50
2018-03,4.58
2018-04,4.75
2018-05,4.75
2018-06,4.89
2018-07,5.00
2018-08,5.00
2018-09,5.03
2018-10,5.25
2018-11,5.25
2018-12,5.35
2019-01,5.50
2019-02,5.50
2019-03,5.50
2019-04,5.50
2019-05,5.50
2019-06,5.50
2019-07,5.50
2019-08,5.25
2019-09,5.15
2019-10,4.99
2019-11,4.75
2019-12,4.75
2020-01,4.75
2020-02,4.75
2020-03,3.78
2020-04,3.25
2020-05,3.25
2020-06,3.25
2020-07,3.25
2020-08,3.25
2020-09,3.25
2020-10,3.25
2020-11,3.25
2020-12,3.25
